瑴	瑴玉裁成却附离
民	民生各有所乐兮 民船拘敛作官船 民好恶其不同兮 民无侵扰玉平家 民乐丰登无一事 民仰使君为食天 民租屡减追胥少 民气乐时天亦好 民安万岁家家乐 民贫乐岁尚艰食
礻	礻交礻了渔人服
礼	礼岂设为我辈哉 礼乐人才俱讨论 礼备天颜知有喜 礼拜归堂更不疑 礼乐风俗成规矩 礼佛修行不较多 礼乐咸修依古制 礼成均庆人神悦 礼行乐备神祈飨 礼三拜吃拳打拳
祁	祁大夫不避亲讐 祁连新冢已封苔 祁连还汝旧风沙 祁祁之雨明日晴 祁山破贼只纶巾 祁连引兵九千里 祁山再见伐崇旅 祁连刻期开卫幕 祁连山人天骨奇 祁山斜谷郁绸缪
祃	祃雅往度重关险
社	社近愁看归去燕 社前归燕穿帘语 社稷勋庸天地窄 社醅又借醉颜酡 社燕盟鸥诗酒共 社肉如林处处留 社下烧钱鼓似雷 社祖西川妙道君 社瓮新醅已有期 社近家方篘浊酒
祀	祀谨先贤配孔堂 祀四百兮绵景祚 祀了龙颜祀沐猴 祀先牲酒亦无几 祀时同唱竹枝辞 祀事严称肃建章 祀事既毕登堂堭 祀灶卜邻无用尔 祀典高齐五岳肩 祀同癸亥数参天
礿	礿祭惟馨胜杀牛
祈	祈天只愿王师息 祈招空解诵愔愔 祈奚若未忘公举 祈遂与君偕老愿 祈蚕会散月满廊 祈雨祈晴无不验 祈求道士有神符 祈祷迎来圣半千 祈丰祷旱最通灵 祈年卜稼信当务
祇	祇看壁外数千卷 祇今旷劫重生后 祇应孤月共寥寥 祇许双鸾见泪痕 祇报卢能在下风 祇因谈笑凭风俗 祇恐重投折齿梭 祇羡泥涂龟曳尾 祇待重来看雪天 祇应宗社已丘墟
祎	祎翟当年让福人
祉	祉羽无劳验风角
祅	祅氛不起瑞烟轻
祠	祠曹我亦试为郎 祠官熏灌祝陈词 祠宇嵯峨接宝坊 祠废已无官树禁 祠禄縻人未弃官 祠禄留人未挂冠 祠山东畔古桐西 祠禄恩宽亦例沾 祠泉恣蜃威天公 祠庭八载窃荣名
祓	祓禊临流江水澜 祓除情景烟波上 祓禊归□杨柳陌 祓禊相期落锦帆 祓禊人归有所思 祓除已过暮春初 祓饰骚人月璐章 祓除情累烟波上 祓饰宁嫌笔端挫 祓禊秋千时节近
祔	祔葬累累尽列侯
祢	祢应烟雨暗相知 祢衡酒醒春瓶倒 祢衡直恐遭江夏 祢生词赋抛江夏 祢衡莫爱山中静 祢史醉魂荒树远 祢衡实恐遭江夏 祢狂无自屈岑牟 祢衡耻逐屠沽儿 祢宫崇祔申追养
祛	祛商兼制砑绫牋 祛风偏重山泉啧 祛邪保假佩灵符 祛愁聊复击樽歌 祛病析酲驱抑郁 祛我沉痾屏无作 祛除痼疾针膏盲
神	神是性兮气是命 神炉静默牢封闭 神不外驰心自定 神皋福地开恭馆 神仙须是闲人做 神是气兮气是命 神仙一曲渔家傲 神不外驰气自定 神宗昔举殊尤礼 神灵欢嘉昌绵瓞
祗	祗知犯重障菩提 祗残邺城不日得 祗知香阁有离愁 祗有莲花对断肠 祗这圆光会不会 祗有青青河畔草 祗恐牡丹留不住 祗这一株惊被梦 祗个无知大奇特 祗有青山带夕阳
祖	祖师遗下一只履 祖师凝流欢者众 祖祖相传无别智 祖父头衔旧熲光 祖翁田地绝边垠 祖师肚裹觅知音 祖师不会西来意 祖师沈醉犹看镜 祖意西来没消息 祖华五叶发灵根
祚	祚永万年齐晋福
祕	祕书昔共官临漳 祕书多才晚未遇
祥	祥云捧玉到天心 祥烟葱郁蔼门庭 祥烟瑞霭杂天香 祥开崧岳庆生申 祥开蓬岛群仙聚 祥烟澹荡俨清风 祥瑞封章满御床 祥烟瑞霭浮清庙 祥云景象一时呈
祯	祯奇孰云非化工 祯符龙马南江出
祷	祷祠村落几依投 祷庙祈神望岁穰 祷祀徒劳罄肃庄 祷旱于今仰圣皇 祷求福兮醉不醒 祷祝空吟一首诗 祷祝花神怜惜取 祷去阳侯失旧津 祷晴琳馆抗旌霓 祷祈天地开金鼎
祸	祸发只因斯害己 祸患常从巧处生 祸福还如身逐影 祸福回还车转毂 祸福由来互倚伏 祸福年长随世改 祸福正如翻覆手 祸福虽云不可猜 祸机不败漂舟兴 祸福通肠直示伊
祼	祼荐交神诸室醉 祼成文母膺鸿佑
禄	禄山宫里养作儿 禄俸优饶官不卑 禄山北筑雄武城 禄俸不薄官不卑 禄山此时侍御侧 禄厚恩深何以报 禄儿新样绣初翻 禄尽谁知寿更长 禄山入关关破年 禄山作逆降天诛
福	福王又拜平原郡 福善天应锡寿祺 福移汉祚难恢复 福星遇得长庚李 福如沧海无穷极 福生祸灭养冲和 福寿丹砂随日变 福如沧海寿如山 福人分付与功名 福比箕畴兼备五
禖	禖坛犹记燕来时
禊	禊洛赏花都未识 禊帖至今家家有 禊亭兰茝暗残春 禊水戏浮独白羽 禊时朋酒占初筵 禊事初修乐未涯 禊祓秋千仍复罢 禊饮寻春兴有余 禊事追游可后时 禊饮春亭五侍筵
禋	禋祀仪文勤圣问
禔	禔身涉世谩多忧 禔栋重檐矫欲飞
禨	禨祥祸福傥或归
禳	禳禬终当徇士民
手	手剔银灯惊炷短 手把文书口称敕 手把齐纨相诀绝 手拈黄花无意绪 手搓梅子笑迎人 手拈香笺忆小莲 手把花锄出绣闺 手种门前乌桕树 手捻香笺忆小莲
承	承平父老头颅改 承事供养无数佛 承恩数上南熏殿 承君清夜之欢娱 承平无事上元节 承恩容易报恩难 承露金茎霄汉间 承平此事比应难 承欢侍宴无闲暇 承平岂足尽言之
拜	拜陵日近公卿发 拜向月宫千岁寿 拜作先师定肯无 拜月无人见晚妆 拜月深深频祝愿 拜了天香罗袖冷 拜了方开敕字封 拜贺明主收沉沦 拜礼从今为骨肉 拜舞龙香迁注想
拏	拏云柏树瘦蛟立 拏龙披凤心眼开 拏舟过我太迟生 拏天攫地数千尺 拏空争死作雷吼 拏云擘茧写兰亭 拏绳人立尾垂屈 拏烟闲弄个渔舟 拏得大家些子本 拏云猎野翻重霄
挛	挛拳孤影在风枝 挛痹难为长折枝 挛耳蓬□色似烧
拿	拿得电光为火把 拿舟不道江湖远 拿云□浪透山川 拿舟海上寻神仙 拿音来近菰蒲住 拿云岂无九霄志 拿金岂即刘叉勇 拿云攫雾欲腾空 拿舟深入水云乡 拿空万木冻龙痴
挈	挈脉望兮驾蠹鱼 挈提裘领喟然叹 挈得吾乡三四友 挈榼人沽村市酒 挈伴拖桡浅水滩 挈榼携壶从笑傲 挈携陬维口澜翻 挈榼凭栏成胜赏 挈妇将雏鬓有丝 挈壶已报添银箭
拳	拳拳鲁叟重抽关 拳石难与嵩岱侔 拳栗御枣玉山奇 拳曲悲鸣求遗穗 拳拳搞志甘三已 拳毛妙画不可见 拳石围泉不满漒 拳来趯去不相饶 拳曲不羞人厌睹 拳手支头百不忧
挚	挚虞追叹惭束晰 挚、咎繇而能调 挚若苍鹰非不健
挐	挐音谁适鸣沧浪 挐舟来别非所欣 挐舟尽入沙湾泊
掣	掣电终归十二闲 掣电浮云真好喻 掣旗夺鼓两分明 掣电之机休拟议 掣断丝纶归喝彩 掣电机关何处讨 掣断绳头欲自由 掣得明珠似月寒 掣铃交通二千石 掣断鼻头双服索
掌	掌上身轻意态妍 掌中回旋小婆娑 掌中杯尽东池晓 掌法遵条常谨守 掌握纵横谁纪颂 掌上细看才半搦 掌故罗胸是国恩 掌上一颗明珠剖 掌中元自有三珠
掔	掔木根以结茞兮
摹	摹作三溪少隐图 摹本宇宙同不朽 摹写相思意象真 摹写春容一绝诗 摹临有过无不及 摹写遗书礼严像 摹将好景寄清音 摹写百端良可嗟 摹写个中须彩笔 摹写桐江最逼真
搴	搴三后之纯英兮 搴衣不待履霜回 搴芳蹋翠弄潺湲 搴帘燕子低飞云 搴帘燕子低飞去 搴珠树兮纫落毛 搴花露粉频沾袖 搴旗获马六千匹 搴长筊兮湛美玉 搴帷拜母河梁去
擎	擎天柱石觇施设 擎苍未减飞扬兴 擎拳稽首拜云霄 擎天一柱在南州 擎觞未饮心先醉 擎爪仰空吾洁白 擎荷折柳争相调 擎天八柱愈峥嵘 擎来入手成欹哭 擎出怀中赤玉符
擘	擘开五色销金纸 擘浪忽看鱼对跃 擘开华岳连天色 擘絮晴云山外吐 擘破面皮方罢参 擘开华岳千峰秀 擘破昆仑成八橛 擘破弥卢穿七竅 擘破红窗新绛纱 擘开世纲居尘外
擥	擥照只惊霜鬓改 擥幽香兮补骚情
攀	攀槛朱云头雪白 攀龙无路空摧哽 攀龙附凤势莫当 攀折悠颺还似舞 攀缘悉去似团砂 攀花撷翠当时事 攀附诸老与齐肩 攀条寻藕怯船移 攀折人多好闭门 攀条弄芳畏晼晚
殳	殳基得道此飞腾 殳山仙翁发如雪
段	段师此艺还相匹 段公曾此读群书 段师弟子数十人 段碑何处卧苍苔 段相重来宿有缘 段家池馆已灰烟 段桥几换垂杨色 段家作堂兼四美 段侯江令梦魂间 段龛地下见春归
殻	殻中新鷇各乘轩
殽	殽烝体荐嚼复嚼 殽鲭厌後胸襟开 殽蔬要遣子孙尝
殿	殿前来往重骑过 殿上风霜生白简 殿头先报内园家 殿前不打背身球 殿前灯火一天明 殿头无事不多书 殿前传点各依班 殿前明日中和节 殿头传语金阶远 殿前铺设两边楼
毁	毁屋得缗上州府 毁极堂堂岁月迟 毁尽文章抹尽名 毁珠擿玉无人识 毁车杀马且偷閒 毁誉利害不上心 毁形自学无生理 毁言自叹今销骨 毁家纾难今其时 毁僧谤佛不安排
毅	毅采英英仰视难 毅然来建中兴功 毅然刚立不怒威 毅然植杖俯而耘 毅然竟把刀头舞 毅然奋笔特诛心 毅魄长绕贺兰山 毅然一炬为归安 毅然独客归初伏 毅然不与儿女计
水	水亭幽处捧霞觞 水面初平云脚低 水浸碧天风皱浪 水浸秋天风皱浪 水沉香冷懒熏衣 水风深处懒回船 水沈香冷懒熏衣 水晶盘莹玉鳞赪 水连芳草月连云 水泉冷涩弦凝绝
永	永夜恹恹欢意少 永为鼎鼐调羹用 永夜清霄习见闻 永夜清宵保所为 永日环堤乘彩舫 永日闲从花里度 永日寥寥谢太平 永劫不来世上行 永康又得风流守
汞	汞剑开时仗慧钢 汞内消停自合和 汞泉分出水潺潺 汞龙铅虎凭火候 汞火流珠入帝京 汞铅得得知颠倒 汞里花开岂偶然 汞铅结就丹根蒂 汞里金牙堪可重 汞铅黑白希夷路
求	求得浅欢风日好 求守管弦声款逐 求男乞女头头应 求如公者人能几 求之无不反招尤 求佛施功早晚成 求友林泉深密处 求新未必胜如旧 求得人间成小会 求田问舍笑豪英
泉	泉江风物似湄湘 泉试云龙花乳泛 泉石膏肓吾已甚 泉宫窈窕锁夜龙 泉泻龙头深泛酒 泉脚挂绳青袅袅 泉声нн敲寒玉 泉上长吟我独清 泉眼无声惜细流 泉声万壑鸣风雨
浆	浆酒香浮桂与椒 浆石榴随糕作节 浆家馈食槿为藩 浆水钱在草鞋里 浆水钱还王老师 浆见水钱教谁还 浆成乳酒醺人醉 浆冷夜凝仙掌露 浆柘尊牺继猗那
泰	泰山载斫为深杯 泰首座埋没自己 泰山为肉酿沧海 泰山嵯峨夏云在 泰运三阳蔼帝居 泰阶已应升平象 泰山不要欺毫末 泰山曾不如放乎 泰山言应可转移 泰道正应分内外
淼	淼淼寒潮带晴色 淼淼寒流千里馀 淼淼长江百尺楼 淼淼烟波吴会远 淼淼江南人未归 淼茫积水非吾土 淼茫大水枕前湾
滕	滕王高阁临江渚 滕阁芳筵笺笔妙 滕王高阁倚江干 滕公不斩世未知 滕六假宁催入局 滕王杰阁横江开 滕阁中春绮席开 滕六晚来方命驾 滕王阁醉绿螺杯
瓯	瓯窭污邪不应祷 瓯除越国贮皆非 瓯面碧圆珠蓓蕾 瓯脱更有杀有人 瓯窭污邪饱禾黍 瓯面乳花谁共看 瓯冶虽神销不得 瓯滑未议羹莼鲈 瓯闽接壤气多同 瓯中沸出酥雪妍
瓮	瓮底新醅应已熟 瓮酒又篘三斗熟 瓮头且饮□如雪 瓮醅力重初投枕 瓮裹何曾失却鳖 瓮有余春可共斟 瓮里黄齑细芼葱 瓮醅灰芋雪泥菘 瓮底新醅供酩酊 瓮头清辣洞庭春
瓴	瓴甋频磨如未回
瓷	瓷瓶夕幂朝即开 瓷瓶蜡纸印丹砂 瓷罂无谢玉为缸 瓷缶秘香蒙翠箬 瓷瓶浅染茱萸紫 瓷复瓷兮闲利名
瓶	瓶倾不出周沙界 瓶雀飞时手怎遮 瓶倾不出悟无难 瓶携江上中泠水 瓶里梅花香正浓 瓶分吴浪情何极 瓶花黯黯无谁主 瓶沉簪折知奈何 瓶犹储粟未为贫
瓿	瓿下早知嘲尚白
甄	甄山秀气旷千古 甄郎高风不可攀 甄陀罗出一枝箫 甄收再作皇居宝 甄评皮里韫阳秋 甄冶从来收朽钝 甄丰奇字诚辱收 甄品难甘状杜何 甄陶往往成今手 甄妃为妒出层宫
甃	甃石封苔百尺深 甃分双眼味何殊 甃玉编金次第平 甃花石路势索纡 甃石缺裂洿淖多 甃堑水温初荇叶 甃缺台倾知几春 甃蚀苔痕去后荒 甃命遮寒且涵养 甃边依约爪痕坚
甆	甆瓶安顿细平章 甆杯倾泻碧玉液 甆瓯泛泛割龙耳
甍	甍檐开处见人间 甍栋相连收亩中 甍飞杰出青霄上
甑	甑头云子喜尝新 甑有尘埃圃乏蔬 甑中白饭出新舂 甑炊地碓新舂米 甑有轻尘釜有鱼 甑炊饱雨湖菱紫 甑未生尘羹有糁 甑倒悬知解死饥 甑中炊火釜烹鲜 甑中枸杞香动人
甔	甔石屡空惟食粥 甔石时时得复空
甓	甓瓦完齐土壁坚 甓社湖中看明月 甓社家居水四环 甓社春浓莫计巡 甓社龙公敢晏眠 甓社湖中有明月 甓社湖西隐君子 甓社湖阴风露秋 甓社重阳又一年
甕	甕边无分笑头方 甕头无酒心仍醉 甕头留得菊花春 甕头幸有茅柴酒 甕头无酒菊花青 甕头又戴老瓦盆 甕有新篘待月斟 甕间吏部寝方酣 甕里醯鸡味笔残
甖	甖粟熬汤旋添蜜 甖粟煎汤到手空
甗	甗炊青饭留岩客
玎	玎珰玉溜无停响 玎玲环珮高低涧
玑	玑衡造化我无心 玑天道人双眼青
玓	玓瓅银鞍连锈轂
玛	玛瑙玻璃霜月白 玛瑙杯寒醉眼明 玛瑙坡前第三树 玛瑙坡前春未来 玛瑙珊瑚兼琥珀 玛瑙阶前布赤沙 玛瑙一泓浮翠玉 玛瑙坡前荆棘雨 玛瑙坡前春独回 玛瑙遗基尚未斜
玙	玙璠悬黎已为宝
玗	玗珠老树枝参天
环	环碧风轻细浪生 环立江头千万峰 环玉长圆丝万系 环佩空归月夜魂 环佩珊珊香袅袅 环舍清阴消几亩 环湖密柳暗藏莺 环行急蹴皆应节 环钗谩篸绿丝丛
玦	玦离环合间珠圆 玦带珊瑚佩解琼
玭	玭琶元是韩朋木 玭珠作性收圆业
玩	玩影冯妃堪比艳 玩此沈沈销永日 玩山头明月清风 玩花诗思岂能穷 玩世神通醉脸酡 玩世惟须半醉醒 玩透羲爻未画前 玩易焚香消永日 玩宝童儿启道经 玩残指爪带橙香
玮	玮晔灵芝发秀翘
玻	玻璃。碧湖秋水 玻璃凿落斟醽醁 玻璃仙碗进流霞 玻璃江上柳如丝 玻璃满泛长生酒 玻璃三万六千顷 玻璃无限月光冷 玻璃满赐出宫瓢 玻璃无计留君住 玻璃江水千尺深
玳	玳筵绮席绣芙蓉 玳筵围锦帐青氈 玳筵急管曲复终 玳瑁玉匣之雕琴 玳瑁筵中见绿珠 玳簪促坐客从容 玳筵收得满金瓶 玳筵初启日穿帘 玳筵剧饮杯余湿 玳瑁筵中怀里醉
玷	玷污玉笋明瓠犀 玷缺便拟相弥缝 玷辱宗风个古锥
珂	珂马西来为花驻 珂临响涧声先合 珂繖摇心梦不成 珂伞炬城沙路春 珂珮喧喧满路岐 珂马飞轩满三市 珂马朝归连万石 珂马风生趋急召 珂马玎玲万人看 珂马避之谁者往
玲	玲珑环佩拥霓裳 玲珑八面尽家风 玲珑八面自回合 玲珑便是本来真 玲珑侍者能相委 玲珑岩上落花雨 玲珑翠纲隔尘埃 玲珑骰子安红豆 玲珑绣扇花藏语
珑	珑板腰肢捉板歌
珉	珉麋珠馅愧颁宣 珉溪几点梅梢雪 珉玉相和正绕身 珉表粹中谁赏鉴 珉中玉表非其俦
珊	珊瑚树林日杲杲 珊瑚树生玳瑁海 珊瑚枝头日杲杲 珊瑚秀色满彤墀 珊瑚敲碎小玲珑 珊瑚林树涨高潮 珊瑚枕上两行泪 珊瑚枝枝撑著月 珊瑚枝月影团团 珊瑚碧树交枝柯
珍	珍重月明相伴宿 珍重主人留客意 珍重龙团并凤髓 珍金铸像灵仪睟 珍重幽人诚好事 珍台闲馆栖神地 珍重蓦山溪句好 珍丛化出黄金盏
玿	玿师一句当机语
班	班春休道无千炬 班回花底修禊饮 班扇入怀君莫恃 班超何日定封侯 班在蕊珠仙缀立 班鹿胎巾白布裘 班资最在云霄上 班定千牛立受宣 班荆相对语劳劳 班荆对饮重杨岸
琤	琤琤壶矢柳营春 琤琮落笔如流泉 琤撞江浪欲无声 琤琤晓漏喧秦禁 琤瑽玉佩侵寒漏 琤琮声裹数流年 琤琤藕叶雨声留 琤琤玉杵声奇绝
珰	珰札迢迢下碧城
珥	珥貂碧落应无分 珥貂相问夕郎惊 珥貂自合上麒麟 珥笔含香最岁寒 珥貂碧落从来事 珥笔曾夸太史鱼 珥笔西归近紫宸 珥貂不爱爱凭熊 珥貂空自逛头颅
珙	珙璧衣冠十六传 珙今兴尽还归去
珣	珣也旁睨裁一吷 珣亦归装倒明月
珠	珠帘不下留归燕 珠帘翠幕护春风 珠箔银屏迤逦开 珠桧丝杉冷欲霜 珠帘月上玲珑影 珠帘绣户杨花满 珠帘夜夜朦胧月 珠帘十里卷香风
珪	珪壁丛中问珷玞 珪璧满船宁计资 珪璋振德是人斯 珪玷由来尚可磨 珪璧清无一点瑕 珪月鈋时泣秋扇 珪璋特达世所珍 珪月弯弯新上弦 珪譬遥知委四郊 珪组纷纷蚁慕羶
珮	珮声遥杂啭莺来 珮玉垂绅合如此 珮璧月兮間珠星 珮马钉铃踏沙路 珮入龙宫步迟迟 珮中邀勒经时序 珮玉晨趋光景好 珮声应宿使朝天 珮声遥集五云端 珮声俱集未央宫
珓	珓杯犹有暂时权
琅	琅函浊质奚能悟 琅钮金跗试墨池 琅琅董相天人策 琅腹细披忠抱寸 琅琅新雨洗湖天 琅玕翠影摇寒瓮 琅函奏号银台省 琅玕。半倚云湾 琅璈声和万年歌 琅诵□句三百字
理	理必期然仍未悟 理会乾坤空不空 理华须而蜂股黄 理透阴符三百字 理与参同契一般 理征衣鞍马匆匆 理到何妨异议駮 理外消停造化实 理遍从头新上曲 理棹又从今日去
琏	琏复为余道民讷
琉	琉璃殿上骑金马 琉璃殿里无关闭 琉璃古殿照明月 琉璃叶下琼葩吐 琉利窗牖玳瑁床 琉璃深殿自清凉 琉璃砌上笼人睡 琉璃田地金城郭 琉璃滑处玉花飞 琉璃宝殿锁蟾华
球	球琳非琢本天真 球场新开向东苑 球栏黼幄遥相映 球妆七宝玲珑焕 球衮回廊曲榭闲 球琳不琢本天姿 球惊杖奋合且离 球场慢拨几人随 球场立马漏声静 球来香袖依稀暖
琐	琐窗朱户无寒到 琐窗秋意苦无多 琐窗淡淡花阴薄 琐窗朱户春光暖 琐声金制阅门环 琐窗宫漏滴铜壶 琐窗日影又还西 琐窗风雨不相饶 琐窗午梦人如玉 琐窗虚度可怜宵
琛	琛赆万里连翩来 琛税年夸钜万缗
琮	琮琤石角千层水 琮琤音韵寄冥搜 琮栗仙杯压雾斜 琮琮琤琤泉落涧 琮琤玉佩空遗响 琮玉温姿轻拂拂 琮琤有韵天籁鸣 琮琤林涧只听闻
琱	琱戈翠节成可事 琱锼红碧任成堆 琱栏倚露月千里 琱章琢句老双溪 琱碎肝脾只坐诗 琱盘此日无遗远 琱戈红旆辔如丝 琱盘一卵宁论价 琱盘饤饾罗满堂 琱光发炯成禹壁
