瑴	瑴玉裁成却附离
兔	兔魄才是十分圆 兔葵燕麦春风里 兔魄呈祥冰彩烂 兔魄初生人初度 兔走鸟飞催短景 兔走乌飞一任他 兔角拄丈击狂风 兔饮长河夜不渴 兔走乌飞九转成
剪	剪剪风斜杨柳春 剪水开头碧玉条 剪月初无陷虎机 剪剪轻风阵阵寒 剪得花时却倚阑 剪绡零碎点酥乾 剪水双眸云鬓吐 剪蜡成梅天著意 剪水凌虚飞雪片 剪剪西风催碧树
刈	刈时留取葵根在 刈禾政想頳肩重 刈禾镰子痴如风 刈熟人忙却要晴 刈禾鎌子快如风 刈稻常过新林浦 刈熟归来碧天暮 刈禾镰虽云快利 刈罢秋禾未敢慵
刊	刊劖四海多名手 刊剟还同火浣文 刊刻欲传千万龄 刊章下郡汉道微 刊摩干宝搜神记 刊除浮习语丁宁 刊删理障觅天根 刊传家集流海内 刊木濬川君有力 刊碑朱墨典签携
刚	刚赋云外筑婆娑 刚被春山杜宇知 刚道人生七十稀 刚风劫火转青冥 刚道花枝有短长 刚道参方不出岭 刚把七十寿君侯 刚道羞郎低粉面 刚被春风透密机 刚作愁时又忆卿
列	列砌森庭栖凤鸾 列国周齐秦汉楚 列群公锡宴在迩 列圣仁恩深雨露 列炬归来酒未醒 列圣森森坐其右 列置帏里明烛前 列圣孝德被寰瀛 列灰煨杀谁深省 列圣忧勤德泽深
刘	刘郎也是人间客 刘郎一见武陵花 刘郎前度几回来 刘章底用令秋霜 刘郎老向花间宿 刘伶席地幕青天 刘郎只解误桃花 刘向传经心事违 刘郎大有惜花心 刘郎正是当年少
刓	刓发披缁心有取
刎	刎颈侯嬴漫怨哀
刑	刑德临门有偶奇 刑鹅公不更祠龙 刑曹树荫千年井 刑清今已狱无囚 刑人一旦起幽深 刑尽猩猩日曬红 刑德临门药象之 刑鹅瓮蜥敬祈秋 刑人未必皆不忠
刖	刖足卞和因献玉 刖路分时无雪月 刖足之言谁肯信
则	则见双燕斗衔泥 则与天地相终始 则和甯戚之牛歌 则稽汜者之農书 则不如其弟知命 则能知者亦罕矣 则无如此道人何 则生於忉利诸天 则靠着柴扉深处
刜	刜钟芒刃此湮沉 刜除欃枪殪旬始 刜钟剸玉尽铅刀
刭	刭而独鹿弃之江
利	利欲驱人万火牛 利锁名缰空自苦 利市平分沾四坐 利益须归上帝功 利名染著还如梦 利名场反覆如云 利得昆仑皆璞玉 利他贵重无亲疏 利剑休教石上磨 利口饶教清似水
判	判却为花今夜醉 判尽筋力终年锄 判后山方立地间 判司卑官不堪说 判叫狼藉醉清樽 判知青史无功名 判将运命赋穷通 判到今春不着家 判得从公日日来 判兴亡说向林逋
删	删后纷纷竞长雄 删后元来尽有诗 删后无诗亦可忧 删诗定书传渊骞 删尽蛾眉惜誓文 删馀今见雅名家 删尽刘郎本事诗 删后求诗类一偏 删修订实望研穷 删繁自是一家书
到	到了千年又觉陈 到家先起妙无双 到处登临曾费泪 到得扶他迂叟出 到日长安花似雨 到乡翻似烂柯人 到得春来君却去 到此不须行火候 到君合上三台位
刮	刮眼相看言有味 刮金佛面细搜求 刮眼相逢四五秋 刮青纤竹缠红藤 刮目探怀授珍蕴 刮地风来何处避 刮膜神方直万金 刮鼓丛中第一人 刮目相期良不薄 刮骨寒知不是霜
剂	剂成圭璧随方圆
刻	刻里工夫一例推 刻舟求剑决然无 刻石时童把贯穿 刻符持节尽人雄 刻画无盐已甚多 刻木如瓶粉渍之 刻烛红笺悭曾展 刻意伤春谁与诉 刻样衣裳巧刻绘 刻玉琱琼费尽工
刳	刳松轻稳琅玕长 刳心去志黜聪明 刳得心来忙处闲 刳木新成舴艋舟 刳肠只为生灵智 刳木为舟数丈余 刳心学道几春秋 刳剥生灵为事业 刳胎乃堕欢伯计 刳肠以占幸无事
刲	刲羊击牛烹凫鹅 刲羊击豕禳瘟鬼 刲豕然灯可奈何 刲羊宰牛具宿酒 刲羊刺豕祭潭龙 刲羊五万大作社 刲羊忽逢伯仁母 刲羊刺豕来村社 刲血须明验一盘
制	制电之机难把撮 制诏中书选茂才 制锦才雄应未怕 制从长庆辞高古 制酒何曾把巨觥 制电之机落二三 制书挥就进明光 制开玉殿黄金锁 制锦才高书善最 制芰荷以为衣兮
剑	剑外归耕梦不通 剑阁峥嵘而崔嵬 剑跨秋空磨星斗 剑溪难驻仙游路 剑水冷冷行碧玉 剑树刀山自在攀 剑河风急雪片阔 剑外忽传收蓟北 剑履便应陪北阙 剑气箫心一例消
前	前望舒使先驱兮 前波未灭后波生 前瞻马耳九仙山 前军夜战洮河北 前山烟暝到柴扉 前後神仙引从多 前後红幢绿盖随 前月浮梁买茶去 前后红幢绿盖随 前村雪里一枝开
